organism,id,protein_id,go_id,ontology,description,
5530,,KFG77479.1,1901673,BP,regulation of mitotic spindle assembly,
5530,,KFG77479.1,790,CC,nuclear chromatin,
5530,,KFG77479.1,46827,BP,positive regulation of protein export from nucleus,
5530,,KFG77479.1,7096,BP,regulation of exit from mitosis,
5530,,KFG77479.1,71949,MF,FAD binding,
5530,,KFG77479.1,70003,MF,threonine-type peptidase activity,
5530,,KFG77479.1,6407,BP,rRNA export from nucleus,
5530,,KFG77479.1,10972,BP,negative regulation of G2/M transition of mitotic cell cycle,
5530,,KFG77479.1,8312,MF,7S RNA binding,
5530,,KFG77479.1,5092,MF,GDP-dissociation inhibitor activity,
5530,,KFG77479.1,4175,MF,endopeptidase activity,
5530,,KFG77479.1,16491,MF,oxidoreductase activity,
5530,,KFG77479.1,4332,MF,fructose-bisphosphate aldolase activity,
5530,,KFG77479.1,19773,CC,proteasome core complex,
5530,,KFG77479.1,5737,CC,cytoplasm,
5530,,KFG77479.1,16973,BP,poly(A)+ mRNA export from nucleus,
5530,,KFG77479.1,9982,MF,pseudouridine synthase activity,
5530,,KFG77479.1,1990904,CC,ribonucleoprotein complex,
5530,,KFG77479.1,54,BP,ribosomal subunit export from nucleus,
5530,,KFG77479.1,16887,MF,ATPase activity,
5530,,KFG77479.1,16021,CC,integral component of membrane,
5530,,KFG77479.1,5524,MF,ATP binding,
5530,,KFG77479.1,6511,BP,ubiquitin-dependent protein catabolic process,
5530,,KFG77479.1,6614,BP,SRP-dependent cotranslational protein targeting to membrane,
5530,,KFG77479.1,55114,BP,oxidation-reduction process,
5530,,KFG77479.1,6096,BP,glycolytic process,
5530,,KFG77479.1,50790,BP,regulation of catalytic activity,
5530,,KFG77479.1,1522,BP,pseudouridine synthesis,
5530,,KFG77481.1,16831,MF,carboxy-lyase activity,
5530,,KFG77481.1,19752,BP,carboxylic acid metabolic process,
5530,,KFG77481.1,16021,CC,integral component of membrane,
5530,,KFG77481.1,30170,MF,pyridoxal phosphate binding,
5530,,KFG77481.1,30001,BP,metal ion transport,
5530,,KFG77481.1,55085,BP,transmembrane transport,
5530,,KFG77481.1,46873,MF,metal ion transmembrane transporter activity,
5530,,KFG77481.1,46872,MF,metal ion binding,
5530,,KFG77481.1,3676,MF,nucleic acid binding,
5530,,KFG77482.1,16021,CC,integral component of membrane,
5530,,KFG77482.1,22857,MF,transmembrane transporter activity,
5530,,KFG77482.1,55085,BP,transmembrane transport,
5530,,KFG77482.1,16491,MF,oxidoreductase activity,
5530,,KFG77482.1,55114,BP,oxidation-reduction process,
5530,,KFG77483.1,16021,CC,integral component of membrane,
5530,,KFG77483.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77483.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG77483.1,6351,BP,transcription,
5530,,KFG77483.1,8270,MF,zinc ion binding,
5530,,KFG77483.1,5634,CC,nucleus,
5530,,KFG77483.1,3677,MF,DNA binding,
5530,,KFG77484.1,6801,BP,superoxide metabolic process,
5530,,KFG77484.1,46872,MF,metal ion binding,
5530,,KFG77484.1,30127,CC,COPII vesicle coat,
5530,,KFG77484.1,6888,BP,endoplasmic reticulum to Golgi vesicle-mediated transport,
5530,,KFG77484.1,4784,MF,superoxide dismutase activity,
5530,,KFG77484.1,6886,BP,intracellular protein transport,
5530,,KFG77484.1,16021,CC,integral component of membrane,
5530,,KFG77484.1,71450,BP,cellular response to oxygen radical,
5530,,KFG77484.1,303,BP,response to superoxide,
5530,,KFG77484.1,5615,CC,extracellular space,
5530,,KFG77484.1,98869,BP,cellular oxidant detoxification,
5530,,KFG77484.1,5840,CC,ribosome,
5530,,KFG77485.1,9116,BP,nucleoside metabolic process,
5530,,KFG77485.1,3824,MF,catalytic activity,
5530,,KFG77485.1,5871,CC,kinesin complex,
5530,,KFG77485.1,43531,MF,ADP binding,
5530,,KFG77485.1,16021,CC,integral component of membrane,
5530,,KFG77485.1,6508,BP,proteolysis,
5530,,KFG77485.1,16042,BP,lipid catabolic process,
5530,,KFG77485.1,16310,BP,phosphorylation,
5530,,KFG77485.1,6486,BP,protein glycosylation,
5530,,KFG77486.1,5887,CC,integral component of plasma membrane,
5530,,KFG77486.1,55085,BP,transmembrane transport,
5530,,KFG77487.1,47571,MF,3-oxosteroid 1-dehydrogenase activity,
5530,,KFG77487.1,55114,BP,oxidation-reduction process,
5530,,KFG77487.1,16021,CC,integral component of membrane,
5530,,KFG77487.1,19748,BP,secondary metabolic process,
5530,,KFG77489.1,4252,MF,serine-type endopeptidase activity,
5530,,KFG77489.1,6508,BP,proteolysis,
5530,,KFG77490.1,5975,BP,carbohydrate metabolic process,
5530,,KFG77490.1,3824,MF,catalytic activity,
5530,,KFG77490.1,16021,CC,integral component of membrane,
5530,,KFG77490.1,16070,BP,RNA metabolic process,
5530,,KFG77490.1,46983,MF,protein dimerization activity,
5530,,KFG77490.1,49,MF,tRNA binding,
5530,,KFG77490.1,43038,BP,amino acid activation,
5530,,KFG77490.1,34654,BP,nucleobase-containing compound biosynthetic process,
5530,,KFG77490.1,3677,MF,DNA binding,
5530,,KFG77490.1,5524,MF,ATP binding,
5530,,KFG77490.1,34645,BP,cellular macromolecule biosynthetic process,
5530,,KFG77490.1,10467,BP,gene expression,
5530,,KFG77494.1,4386,MF,helicase activity,
5530,,KFG77494.1,16021,CC,integral component of membrane,
5530,,KFG77494.1,5524,MF,ATP binding,
5530,,KFG77496.1,5524,MF,ATP binding,
5530,,KFG77496.1,6364,BP,rRNA processing,
5530,,KFG77496.1,5634,CC,nucleus,
5530,,KFG77496.1,97344,CC,Rix1 complex,
5530,,KFG77496.1,34708,CC,methyltransferase complex,
5530,,KFG77496.1,3676,MF,nucleic acid binding,
5530,,KFG77496.1,70013,CC,intracellular organelle lumen,
5530,,KFG77496.1,4386,MF,helicase activity,
5530,,KFG77496.1,44446,CC,intracellular organelle part,
5530,,KFG77497.1,16620,MF,oxidoreductase activity,
5530,,KFG77497.1,55114,BP,oxidation-reduction process,
5530,,KFG77497.1,16021,CC,integral component of membrane,
5530,,KFG77497.1,15914,BP,phospholipid transport,
5530,,KFG77497.1,140326,MF,ATPase-coupled intramembrane lipid transporter activity,
5530,,KFG77497.1,5840,CC,ribosome,
5530,,KFG77497.1,287,MF,magnesium ion binding,
5530,,KFG77497.1,5524,MF,ATP binding,
5530,,KFG77497.1,6412,BP,translation,
5530,,KFG77497.1,3735,MF,structural constituent of ribosome,
5530,,KFG77498.1,140326,MF,ATPase-coupled intramembrane lipid transporter activity,
5530,,KFG77498.1,15914,BP,phospholipid transport,
5530,,KFG77498.1,16021,CC,integral component of membrane,
5530,,KFG77498.1,287,MF,magnesium ion binding,
5530,,KFG77498.1,5623,CC,cell,
5530,,KFG77498.1,5524,MF,ATP binding,
5530,,KFG77498.1,45053,BP,protein retention in Golgi apparatus,
5530,,KFG77498.1,45921,BP,positive regulation of exocytosis,
5530,,KFG77498.1,16787,MF,hydrolase activity,
5530,,KFG77498.1,9405,BP,pathogenesis,
5530,,KFG77498.1,34204,BP,lipid translocation,
5530,,KFG77500.1,46961,MF,proton-transporting ATPase activity,
5530,,KFG77500.1,33178,CC,proton-transporting two-sector ATPase complex,
5530,,KFG77500.1,1902600,BP,proton transmembrane transport,
5530,,KFG77500.1,16021,CC,integral component of membrane,
5530,,KFG77501.1,15095,MF,magnesium ion transmembrane transporter activity,
5530,,KFG77501.1,1903830,BP,magnesium ion transmembrane transport,
5530,,KFG77501.1,16021,CC,integral component of membrane,
5530,,KFG77501.1,502,CC,proteasome complex,
5530,,KFG77502.1,16021,CC,integral component of membrane,
5530,,KFG77503.1,987,MF,proximal promoter sequence-specific DNA binding,
5530,,KFG77503.1,45944,BP,positive regulation of transcription by RNA polymerase II,
5530,,KFG77503.1,5634,CC,nucleus,
5530,,KFG77503.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77503.1,46983,MF,protein dimerization activity,
5530,,KFG77504.1,5375,MF,copper ion transmembrane transporter activity,
5530,,KFG77504.1,35434,BP,copper ion transmembrane transport,
5530,,KFG77504.1,16021,CC,integral component of membrane,
5530,,KFG77505.1,4523,MF,RNA-DNA hybrid ribonuclease activity,
5530,,KFG77505.1,90502,BP,RNA phosphodiester bond hydrolysis,
5530,,KFG77505.1,16021,CC,integral component of membrane,
5530,,KFG77505.1,6278,BP,RNA-dependent DNA biosynthetic process,
5530,,KFG77505.1,3964,MF,RNA-directed DNA polymerase activity,
5530,,KFG77505.1,3676,MF,nucleic acid binding,
5530,,KFG77505.1,8270,MF,zinc ion binding,
5530,,KFG77505.1,4527,MF,exonuclease activity,
5530,,KFG77505.1,3678,MF,DNA helicase activity,
5530,,KFG77505.1,723,BP,telomere maintenance,
5530,,KFG77505.1,32508,BP,DNA duplex unwinding,
5530,,KFG77505.1,46983,MF,protein dimerization activity,
5530,,KFG77505.1,8484,MF,sulfuric ester hydrolase activity,
5530,,KFG77505.1,5524,MF,ATP binding,
5530,,KFG77505.1,6310,BP,DNA recombination,
5530,,KFG77505.1,6281,BP,DNA repair,
5530,,KFG77505.1,15074,BP,DNA integration,
5530,,KFG77506.1,16627,MF,oxidoreductase activity,
5530,,KFG77506.1,55114,BP,oxidation-reduction process,
5530,,KFG77506.1,42579,CC,microbody,
5530,,KFG77506.1,9062,BP,fatty acid catabolic process,
5530,,KFG77506.1,71949,MF,FAD binding,
5530,,KFG77506.1,16021,CC,integral component of membrane,
5530,,KFG77506.1,30258,BP,lipid modification,
5530,,KFG77509.1,51920,MF,peroxiredoxin activity,
5530,,KFG77509.1,98869,BP,cellular oxidant detoxification,
5530,,KFG77509.1,55114,BP,oxidation-reduction process,
5530,,KFG77510.1,18580,MF,nitronate monooxygenase activity,
5530,,KFG77510.1,55114,BP,oxidation-reduction process,
5530,,KFG77510.1,5634,CC,nucleus,
5530,,KFG77510.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG77510.1,55085,BP,transmembrane transport,
5530,,KFG77510.1,51213,MF,dioxygenase activity,
5530,,KFG77510.1,16021,CC,integral component of membrane,
5530,,KFG77510.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77510.1,22857,MF,transmembrane transporter activity,
5530,,KFG77510.1,8270,MF,zinc ion binding,
5530,,KFG77511.1,46983,MF,protein dimerization activity,
5530,,KFG77511.1,5634,CC,nucleus,
5530,,KFG77511.1,45944,BP,positive regulation of transcription by RNA polymerase II,
5530,,KFG77511.1,976,MF,transcription regulatory region sequence-specific DNA binding,
5530,,KFG77511.1,1012,MF,RNA polymerase II regulatory region DNA binding,
5530,,KFG77511.1,16021,CC,integral component of membrane,
5530,,KFG77511.1,3700,MF,DNA-binding transcription factor activity,
5530,,KFG77511.1,8134,MF,transcription factor binding,
5530,,KFG77511.1,3924,MF,GTPase activity,
5530,,KFG77511.1,5525,MF,GTP binding,
5530,,KFG77511.1,7275,BP,multicellular organism development,
5530,,KFG77512.1,3700,MF,DNA-binding transcription factor activity,
5530,,KFG77512.1,6355,BP,regulation of transcription,
5530,,KFG77516.1,6351,BP,transcription,
5530,,KFG77516.1,8270,MF,zinc ion binding,
5530,,KFG77516.1,5634,CC,nucleus,
5530,,KFG77516.1,3676,MF,nucleic acid binding,
5530,,KFG77516.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77516.1,785,CC,chromatin,
5530,,KFG77516.1,70013,CC,intracellular organelle lumen,
5530,,KFG77516.1,122,BP,negative regulation of transcription by RNA polymerase II,
5530,,KFG77516.1,45944,BP,positive regulation of transcription by RNA polymerase II,
5530,,KFG77518.1,45454,BP,cell redox homeostasis,
5530,,KFG77518.1,15036,MF,disulfide oxidoreductase activity,
5530,,KFG77518.1,5623,CC,cell,
5530,,KFG77518.1,6662,BP,glycerol ether metabolic process,
5530,,KFG77518.1,16668,MF,oxidoreductase activity,
5530,,KFG77518.1,16021,CC,integral component of membrane,
5530,,KFG77518.1,16209,MF,antioxidant activity,
5530,,KFG77518.1,98869,BP,cellular oxidant detoxification,
5530,,KFG77518.1,3677,MF,DNA binding,
5530,,KFG77518.1,55114,BP,oxidation-reduction process,
5530,,KFG77518.1,7283,BP,spermatogenesis,
5530,,KFG77518.1,30154,BP,cell differentiation,
5530,,KFG77518.1,7275,BP,multicellular organism development,
5530,,KFG77519.1,4523,MF,RNA-DNA hybrid ribonuclease activity,
5530,,KFG77519.1,90305,BP,nucleic acid phosphodiester bond hydrolysis,
5530,,KFG77519.1,16021,CC,integral component of membrane,
5530,,KFG77519.1,16070,BP,RNA metabolic process,
5530,,KFG77519.1,6278,BP,RNA-dependent DNA biosynthetic process,
5530,,KFG77519.1,4527,MF,exonuclease activity,
5530,,KFG77519.1,3964,MF,RNA-directed DNA polymerase activity,
5530,,KFG77519.1,8270,MF,zinc ion binding,
5530,,KFG77519.1,3676,MF,nucleic acid binding,
5530,,KFG77519.1,8484,MF,sulfuric ester hydrolase activity,
5530,,KFG77519.1,4252,MF,serine-type endopeptidase activity,
5530,,KFG77519.1,6508,BP,proteolysis,
5530,,KFG77520.1,4519,MF,endonuclease activity,
5530,,KFG77520.1,90305,BP,nucleic acid phosphodiester bond hydrolysis,
5530,,KFG77520.1,6278,BP,RNA-dependent DNA biosynthetic process,
5530,,KFG77520.1,3964,MF,RNA-directed DNA polymerase activity,
5530,,KFG77520.1,4540,MF,ribonuclease activity,
5530,,KFG77520.1,16070,BP,RNA metabolic process,
5530,,KFG77520.1,4527,MF,exonuclease activity,
5530,,KFG77520.1,3676,MF,nucleic acid binding,
5530,,KFG77520.1,46983,MF,protein dimerization activity,
5530,,KFG77520.1,16301,MF,kinase activity,
5530,,KFG77520.1,16310,BP,phosphorylation,
5530,,KFG77521.1,1080,BP,nitrogen catabolite activation of transcription from RNA polymerase II promoter,
5530,,KFG77521.1,978,MF,RNA polymerase II proximal promoter sequence-specific DNA binding,
5530,,KFG77521.1,790,CC,nuclear chromatin,
5530,,KFG77521.1,5667,CC,transcription factor complex,
5530,,KFG77521.1,1903833,BP,positive regulation of cellular response to amino acid starvation,
5530,,KFG77521.1,5654,CC,nucleoplasm,
5530,,KFG77521.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG77521.1,50661,MF,NADP binding,
5530,,KFG77521.1,51287,MF,NAD binding,
5530,,KFG77521.1,122,BP,negative regulation of transcription by RNA polymerase II,
5530,,KFG77521.1,16491,MF,oxidoreductase activity,
5530,,KFG77521.1,45944,BP,positive regulation of transcription by RNA polymerase II,
5530,,KFG77521.1,16021,CC,integral component of membrane,
5530,,KFG77521.1,55114,BP,oxidation-reduction process,
5530,,KFG77522.1,5576,CC,extracellular region,
5530,,KFG77523.1,4674,MF,protein serine/threonine kinase activity,
5530,,KFG77523.1,6468,BP,protein phosphorylation,
5530,,KFG77523.1,5524,MF,ATP binding,
5530,,KFG77523.1,32259,BP,methylation,
5530,,KFG77523.1,6412,BP,translation,
5530,,KFG77523.1,8168,MF,methyltransferase activity,
5530,,KFG77525.1,16021,CC,integral component of membrane,
5530,,KFG77525.1,43631,BP,RNA polyadenylation,
5530,,KFG77525.1,4652,MF,polynucleotide adenylyltransferase activity,
5530,,KFG77525.1,71805,BP,potassium ion transmembrane transport,
5530,,KFG77525.1,15079,MF,potassium ion transmembrane transporter activity,
5530,,KFG77526.1,43565,MF,sequence-specific DNA binding,
5530,,KFG77526.1,5634,CC,nucleus,
5530,,KFG77526.1,6355,BP,regulation of transcription,
5530,,KFG77526.1,3700,MF,DNA-binding transcription factor activity,
5530,,KFG77526.1,1012,MF,RNA polymerase II regulatory region DNA binding,
5530,,KFG77526.1,3690,MF,double-stranded DNA binding,
5530,,KFG77526.1,34605,BP,cellular response to heat,
5530,,KFG77526.1,1903508,BP,positive regulation of nucleic acid-templated transcription,
5530,,KFG77526.1,10628,BP,positive regulation of gene expression,
5530,,KFG77527.1,43565,MF,sequence-specific DNA binding,
5530,,KFG77527.1,50794,BP,regulation of cellular process,
5530,,KFG77527.1,5667,CC,transcription factor complex,
5530,,KFG77527.1,8270,MF,zinc ion binding,
5530,,KFG77527.1,5634,CC,nucleus,
5530,,KFG77527.1,4672,MF,protein kinase activity,
5530,,KFG77527.1,16775,MF,phosphotransferase activity,
5530,,KFG77527.1,16021,CC,integral component of membrane,
5530,,KFG77527.1,10556,BP,regulation of macromolecule biosynthetic process,
5530,,KFG77527.1,140299,MF,small molecule sensor activity,
5530,,KFG77527.1,51171,BP,regulation of nitrogen compound metabolic process,
5530,,KFG77527.1,80090,BP,regulation of primary metabolic process,
5530,,KFG77527.1,10468,BP,regulation of gene expression,
5530,,KFG77527.1,6468,BP,protein phosphorylation,
5530,,KFG77527.1,166,MF,nucleotide binding,
5530,,KFG77527.1,5515,MF,protein binding,
5530,,KFG77527.1,71111,MF,cyclic-guanylate-specific phosphodiesterase activity,
5530,,KFG77527.1,23052,BP,signaling,
5530,,KFG77527.1,7154,BP,cell communication,
5530,,KFG77527.1,35639,MF,purine ribonucleoside triphosphate binding,
5530,,KFG77527.1,51716,BP,cellular response to stimulus,
5530,,KFG77527.1,8144,MF,drug binding,
