id,protein_id,go_id,ontology,description,,,,
,KID59145.1,18024,MF,histone-lysine N-methyltransferase activity,,,,
,KID59145.1,34035,BP,purine ribonucleoside bisphosphate metabolic process,,,,
,KID59145.1,55085,BP,transmembrane transport,,,,
,KID59145.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59145.1,34968,BP,histone lysine methylation,,,,
,KID59145.1,16705,MF,oxidoreductase activity,,,,
,KID59145.1,5506,MF,iron ion binding,,,,
,KID59145.1,20037,MF,heme binding,,,,
,KID59145.1,3676,MF,nucleic acid binding,,,,
,KID59145.1,9150,BP,purine ribonucleotide metabolic process,,,,
,KID59145.1,6396,BP,RNA processing,,,,
,KID59145.1,6629,BP,lipid metabolic process,,,,
,KID59145.1,55114,BP,oxidation-reduction process,,,,
,KID59155.1,16021,CC,integral component of membrane,,,,
,KID59159.1,5887,CC,integral component of plasma membrane,,,,
,KID59159.1,55085,BP,transmembrane transport,,,,
,KID59162.1,16787,MF,hydrolase activity,,,,
,KID59162.1,71966,BP,fungal-type cell wall polysaccharide metabolic process,,,,
,KID59162.1,9277,CC,fungal-type cell wall,,,,
,KID59162.1,16987,MF,sigma factor activity,,,,
,KID59162.1,3700,MF,DNA-binding transcription factor activity,,,,
,KID59162.1,5576,CC,extracellular region,,,,
,KID59162.1,3677,MF,DNA binding,,,,
,KID59162.1,16021,CC,integral component of membrane,,,,
,KID59162.1,2000142,BP,regulation of DNA-templated transcription,,,,
,KID59162.1,6352,BP,DNA-templated transcription,,,,
,KID59162.1,6508,BP,proteolysis,,,,
,KID59165.1,16021,CC,integral component of membrane,,,,
,KID59170.1,16787,MF,hydrolase activity,,,,
,KID59170.1,71966,BP,fungal-type cell wall polysaccharide metabolic process,,,,
,KID59170.1,9277,CC,fungal-type cell wall,,,,
,KID59170.1,16987,MF,sigma factor activity,,,,
,KID59170.1,3700,MF,DNA-binding transcription factor activity,,,,
,KID59170.1,5576,CC,extracellular region,,,,
,KID59170.1,3677,MF,DNA binding,,,,
,KID59170.1,16021,CC,integral component of membrane,,,,
,KID59170.1,2000142,BP,regulation of DNA-templated transcription,,,,
,KID59170.1,6352,BP,DNA-templated transcription,,,,
,KID59170.1,6508,BP,proteolysis,,,,
,KID59176.1,5524,MF,ATP binding,,,,
,KID59178.1,43666,BP,regulation of phosphoprotein phosphatase activity,,,,
,KID59178.1,4222,MF,metalloendopeptidase activity,,,,
,KID59178.1,5829,CC,cytosol,,,,
,KID59178.1,5743,CC,mitochondrial inner membrane,,,,
,KID59178.1,46872,MF,metal ion binding,,,,
,KID59178.1,3723,MF,RNA binding,,,,
,KID59178.1,6508,BP,proteolysis,,,,
,KID59178.1,7165,BP,signal transduction,,,,
,KID59178.1,16021,CC,integral component of membrane,,,,
,KID59178.1,55085,BP,transmembrane transport,,,,
,KID59179.1,4386,MF,helicase activity,,,,
,KID59179.1,6355,BP,regulation of transcription,,,,
,KID59179.1,3676,MF,nucleic acid binding,,,,
,KID59179.1,5524,MF,ATP binding,,,,
,KID59179.1,6468,BP,protein phosphorylation,,,,
,KID59179.1,4672,MF,protein kinase activity,,,,
,KID59183.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59183.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59183.1,3676,MF,nucleic acid binding,,,,
,KID59185.1,9116,BP,nucleoside metabolic process,,,,
,KID59185.1,46873,MF,metal ion transmembrane transporter activity,,,,
,KID59185.1,16021,CC,integral component of membrane,,,,
,KID59185.1,4525,MF,ribonuclease III activity,,,,
,KID59185.1,30001,BP,metal ion transport,,,,
,KID59185.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59185.1,16705,MF,oxidoreductase activity,,,,
,KID59185.1,5506,MF,iron ion binding,,,,
,KID59185.1,20037,MF,heme binding,,,,
,KID59185.1,55085,BP,transmembrane transport,,,,
,KID59185.1,6396,BP,RNA processing,,,,
,KID59185.1,34035,BP,purine ribonucleoside bisphosphate metabolic process,,,,
,KID59185.1,9150,BP,purine ribonucleotide metabolic process,,,,
,KID59185.1,6629,BP,lipid metabolic process,,,,
,KID59185.1,55114,BP,oxidation-reduction process,,,,
,KID59188.1,7165,BP,signal transduction,,,,
,KID59188.1,16021,CC,integral component of membrane,,,,
,KID59189.1,16021,CC,integral component of membrane,,,,
,KID59189.1,5227,MF,calcium activated cation channel activity,,,,
,KID59189.1,34220,BP,ion transmembrane transport,,,,
,KID59189.1,5886,CC,plasma membrane,,,,
,KID59190.1,71949,MF,FAD binding,,,,
,KID59190.1,55114,BP,oxidation-reduction process,,,,
,KID59190.1,16021,CC,integral component of membrane,,,,
,KID59190.1,16491,MF,oxidoreductase activity,,,,
,KID59191.1,16705,MF,oxidoreductase activity,,,,
,KID59191.1,55114,BP,oxidation-reduction process,,,,
,KID59191.1,16021,CC,integral component of membrane,,,,
,KID59191.1,5506,MF,iron ion binding,,,,
,KID59191.1,20037,MF,heme binding,,,,
,KID59191.1,46854,BP,phosphatidylinositol phosphorylation,,,,
,KID59191.1,4497,MF,monooxygenase activity,,,,
,KID59191.1,16311,BP,dephosphorylation,,,,
,KID59191.1,6790,BP,sulfur compound metabolic process,,,,
,KID59191.1,8441,MF,3'(2'),,,,
,KID59191.1,19748,BP,secondary metabolic process,,,,
,KID59191.1,8410,MF,CoA-transferase activity,,,,
,KID59191.1,16811,MF,hydrolase activity,,,,
,KID59191.1,32259,BP,methylation,,,,
,KID59191.1,8168,MF,methyltransferase activity,,,,
,KID59207.1,723,BP,telomere maintenance,,,,
,KID59207.1,3678,MF,DNA helicase activity,,,,
,KID59207.1,5634,CC,nucleus,,,,
,KID59207.1,32508,BP,DNA duplex unwinding,,,,
,KID59207.1,6310,BP,DNA recombination,,,,
,KID59207.1,6281,BP,DNA repair,,,,
,KID59207.1,5524,MF,ATP binding,,,,
,KID59207.1,981,MF,DNA-binding transcription factor activity,,,,
,KID59207.1,8270,MF,zinc ion binding,,,,
,KID59207.1,50660,MF,flavin adenine dinucleotide binding,,,,
,KID59207.1,16614,MF,oxidoreductase activity,,,,
,KID59207.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID59207.1,16747,MF,transferase activity,,,,
,KID59207.1,3676,MF,nucleic acid binding,,,,
,KID59207.1,46983,MF,protein dimerization activity,,,,
,KID59207.1,55114,BP,oxidation-reduction process,,,,
,KID59208.1,46983,MF,protein dimerization activity,,,,
,KID59208.1,55085,BP,transmembrane transport,,,,
,KID59208.1,16021,CC,integral component of membrane,,,,
,KID59208.1,3677,MF,DNA binding,,,,
,KID59208.1,22857,MF,transmembrane transporter activity,,,,
,KID59209.1,16757,MF,transferase activity,,,,
,KID59209.1,16021,CC,integral component of membrane,,,,
,KID59210.1,3676,MF,nucleic acid binding,,,,
,KID59210.1,5655,CC,nucleolar ribonuclease P complex,,,,
,KID59210.1,6379,BP,mRNA cleavage,,,,
,KID59210.1,172,CC,ribonuclease MRP complex,,,,
,KID59210.1,8033,BP,tRNA processing,,,,
,KID59210.1,4616,MF,phosphogluconate dehydrogenase (decarboxylating) activity,,,,
,KID59210.1,166,MF,nucleotide binding,,,,
,KID59210.1,55114,BP,oxidation-reduction process,,,,
,KID59210.1,35639,MF,purine ribonucleoside triphosphate binding,,,,
,KID59210.1,51156,BP,glucose 6-phosphate metabolic process,,,,
,KID59210.1,8144,MF,drug binding,,,,
,KID59210.1,6739,BP,NADP metabolic process,,,,
,KID59210.1,97367,MF,carbohydrate derivative binding,,,,
,KID59210.1,50662,MF,coenzyme binding,,,,
,KID59210.1,16740,MF,transferase activity,,,,
,KID59210.1,6091,BP,generation of precursor metabolites and energy,,,,
,KID59210.1,16021,CC,integral component of membrane,,,,
,KID59211.1,4519,MF,endonuclease activity,,,,
,KID59211.1,90305,BP,nucleic acid phosphodiester bond hydrolysis,,,,
,KID59211.1,3676,MF,nucleic acid binding,,,,
,KID59213.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59213.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59213.1,16021,CC,integral component of membrane,,,,
,KID59213.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59213.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59213.1,3676,MF,nucleic acid binding,,,,
,KID59213.1,8270,MF,zinc ion binding,,,,
,KID59213.1,4527,MF,exonuclease activity,,,,
,KID59213.1,8484,MF,sulfuric ester hydrolase activity,,,,
,KID59213.1,46983,MF,protein dimerization activity,,,,
,KID59213.1,3678,MF,DNA helicase activity,,,,
,KID59213.1,723,BP,telomere maintenance,,,,
,KID59213.1,15074,BP,DNA integration,,,,
,KID59213.1,32508,BP,DNA duplex unwinding,,,,
,KID59213.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59213.1,6310,BP,DNA recombination,,,,
,KID59213.1,6281,BP,DNA repair,,,,
,KID59213.1,5524,MF,ATP binding,,,,
,KID59213.1,6508,BP,proteolysis,,,,
,KID59214.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59214.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59214.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59214.1,8270,MF,zinc ion binding,,,,
,KID59214.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59214.1,3676,MF,nucleic acid binding,,,,
,KID59214.1,4527,MF,exonuclease activity,,,,
,KID59214.1,46983,MF,protein dimerization activity,,,,
,KID59214.1,4499,MF,N,,,,
,KID59214.1,50661,MF,NADP binding,,,,
,KID59214.1,15074,BP,DNA integration,,,,
,KID59214.1,55114,BP,oxidation-reduction process,,,,
,KID59214.1,50660,MF,flavin adenine dinucleotide binding,,,,
,KID59215.1,8909,MF,isochorismate synthase activity,,,,
,KID59215.1,9058,BP,biosynthetic process,,,,
,KID59215.1,16833,MF,oxo-acid-lyase activity,,,,
,KID59215.1,19748,BP,secondary metabolic process,,,,
,KID59215.1,4106,MF,chorismate mutase activity,,,,
,KID59233.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59233.1,6508,BP,proteolysis,,,,
,KID59233.1,5576,CC,extracellular region,,,,
,KID59233.1,46872,MF,metal ion binding,,,,
,KID59235.1,31177,MF,phosphopantetheine binding,,,,
,KID59235.1,55114,BP,oxidation-reduction process,,,,
,KID59235.1,19748,BP,secondary metabolic process,,,,
,KID59235.1,9058,BP,biosynthetic process,,,,
,KID59235.1,16491,MF,oxidoreductase activity,,,,
,KID59235.1,16740,MF,transferase activity,,,,
,KID59235.1,8270,MF,zinc ion binding,,,,
,KID59235.1,16787,MF,hydrolase activity,,,,
,KID59235.1,30170,MF,pyridoxal phosphate binding,,,,
,KID59236.1,5887,CC,integral component of plasma membrane,,,,
,KID59236.1,55085,BP,transmembrane transport,,,,
,KID59236.1,981,MF,DNA-binding transcription factor activity,,,,
,KID59236.1,8270,MF,zinc ion binding,,,,
,KID59236.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID59236.1,42910,MF,xenobiotic transmembrane transporter activity,,,,
,KID59236.1,5634,CC,nucleus,,,,
,KID59236.1,3677,MF,DNA binding,,,,
,KID59236.1,42908,BP,xenobiotic transport,,,,
,KID59236.1,140352,BP,export from cell,,,,
,KID59236.1,98754,BP,detoxification,,,,
,KID59236.1,6351,BP,transcription,,,,
,KID59239.1,30170,MF,pyridoxal phosphate binding,,,,
,KID59239.1,9058,BP,biosynthetic process,,,,
,KID59239.1,98869,BP,cellular oxidant detoxification,,,,
,KID59239.1,16740,MF,transferase activity,,,,
,KID59239.1,55114,BP,oxidation-reduction process,,,,
,KID59239.1,4601,MF,peroxidase activity,,,,
,KID59240.1,6351,BP,transcription,,,,
,KID59240.1,8270,MF,zinc ion binding,,,,
,KID59240.1,5634,CC,nucleus,,,,
,KID59240.1,3677,MF,DNA binding,,,,
,KID59240.1,981,MF,DNA-binding transcription factor activity,,,,
,KID59240.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID59241.1,90729,MF,toxin activity,,,,
,KID59241.1,5615,CC,extracellular space,,,,
,KID59241.1,9405,BP,pathogenesis,,,,
,KID59242.1,30976,MF,thiamine pyrophosphate binding,,,,
,KID59242.1,5829,CC,cytosol,,,,
,KID59242.1,16831,MF,carboxy-lyase activity,,,,
,KID59242.1,287,MF,magnesium ion binding,,,,
,KID59242.1,3984,MF,acetolactate synthase activity,,,,
,KID59253.1,5524,MF,ATP binding,,,,
,KID59253.1,6508,BP,proteolysis,,,,
,KID59253.1,16021,CC,integral component of membrane,,,,
,KID59253.1,723,BP,telomere maintenance,,,,
,KID59253.1,32508,BP,DNA duplex unwinding,,,,
,KID59253.1,4386,MF,helicase activity,,,,
,KID59253.1,6310,BP,DNA recombination,,,,
,KID59253.1,6281,BP,DNA repair,,,,
,KID59253.1,3676,MF,nucleic acid binding,,,,
,KID59253.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59253.1,46983,MF,protein dimerization activity,,,,
,KID59253.1,15074,BP,DNA integration,,,,
,KID59253.1,8094,MF,DNA-dependent ATPase activity,,,,
,KID59253.1,140097,MF,catalytic activity,,,,
,KID59253.1,8270,MF,zinc ion binding,,,,
,KID59253.1,8234,MF,cysteine-type peptidase activity,,,,
,KID59255.1,45480,MF,galactose oxidase activity,,,,
,KID59255.1,55114,BP,oxidation-reduction process,,,,
,KID59255.1,16021,CC,integral component of membrane,,,,
,KID59255.1,30246,MF,carbohydrate binding,,,,
,KID59255.1,6091,BP,generation of precursor metabolites and energy,,,,
,KID59255.1,31176,MF,endo-1,,,,
,KID59255.1,5509,MF,calcium ion binding,,,,
,KID59255.1,20037,MF,heme binding,,,,
,KID59255.1,9055,MF,electron transfer activity,,,,
,KID59255.1,3676,MF,nucleic acid binding,,,,
,KID59256.1,9,MF,alpha-1,,,,
,KID59256.1,97502,BP,mannosylation,,,,
,KID59256.1,16021,CC,integral component of membrane,,,,
,KID59256.1,6491,BP,N-glycan processing,,,,
,KID59256.1,6057,BP,mannoprotein biosynthetic process,,,,
,KID59256.1,31501,CC,mannosyltransferase complex,,,,
,KID59256.1,31506,BP,cell wall glycoprotein biosynthetic process,,,,
,KID59256.1,137,CC,Golgi cis cisterna,,,,
,KID59256.1,4376,MF,glycolipid mannosyltransferase activity,,,,
,KID59256.1,31228,CC,intrinsic component of Golgi membrane,,,,
,KID59256.1,98796,CC,membrane protein complex,,,,
,KID59256.1,5789,CC,endoplasmic reticulum membrane,,,,
,KID59257.1,3676,MF,nucleic acid binding,,,,
,KID59258.1,16301,MF,kinase activity,,,,
,KID59258.1,16310,BP,phosphorylation,,,,
,KID59258.1,16773,MF,phosphotransferase activity,,,,
,KID59258.1,6464,BP,cellular protein modification process,,,,
,KID59258.1,140096,MF,catalytic activity,,,,
,KID59259.1,5618,CC,cell wall,,,,
,KID59259.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59259.1,6508,BP,proteolysis,,,,
,KID59259.1,16020,CC,membrane,,,,
,KID59260.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59260.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59260.1,16021,CC,integral component of membrane,,,,
,KID59260.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59260.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59260.1,3676,MF,nucleic acid binding,,,,
,KID59260.1,4527,MF,exonuclease activity,,,,
,KID59260.1,8270,MF,zinc ion binding,,,,
,KID59260.1,46983,MF,protein dimerization activity,,,,
,KID59260.1,3678,MF,DNA helicase activity,,,,
,KID59260.1,723,BP,telomere maintenance,,,,
,KID59260.1,8484,MF,sulfuric ester hydrolase activity,,,,
,KID59260.1,32508,BP,DNA duplex unwinding,,,,
,KID59260.1,6310,BP,DNA recombination,,,,
,KID59260.1,5524,MF,ATP binding,,,,
,KID59260.1,6281,BP,DNA repair,,,,
,KID59260.1,15074,BP,DNA integration,,,,
,KID59260.1,55085,BP,transmembrane transport,,,,
,KID59262.1,723,BP,telomere maintenance,,,,
,KID59262.1,3678,MF,DNA helicase activity,,,,
,KID59262.1,5657,CC,replication fork,,,,
,KID59262.1,5634,CC,nucleus,,,,
,KID59262.1,32508,BP,DNA duplex unwinding,,,,
,KID59262.1,6310,BP,DNA recombination,,,,
,KID59262.1,6281,BP,DNA repair,,,,
,KID59262.1,5524,MF,ATP binding,,,,
,KID59262.1,5739,CC,mitochondrion,,,,
,KID59262.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59262.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59262.1,3676,MF,nucleic acid binding,,,,
,KID59262.1,16706,MF,2-oxoglutarate-dependent dioxygenase activity,,,,
,KID59262.1,9116,BP,nucleoside metabolic process,,,,
,KID59262.1,31418,MF,L-ascorbic acid binding,,,,
,KID59262.1,46914,MF,transition metal ion binding,,,,
,KID59262.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID59262.1,6468,BP,protein phosphorylation,,,,
,KID59262.1,981,MF,DNA-binding transcription factor activity,,,,
,KID59262.1,51974,BP,negative regulation of telomerase activity,,,,
,KID59262.1,32211,BP,negative regulation of telomere maintenance via telomerase,,,,
,KID59262.1,140096,MF,catalytic activity,,,,
,KID59262.1,55114,BP,oxidation-reduction process,,,,
,KID59262.1,16773,MF,phosphotransferase activity,,,,
,KID59262.1,10521,MF,telomerase inhibitor activity,,,,
,KID59262.1,50660,MF,flavin adenine dinucleotide binding,,,,
,KID59262.1,16614,MF,oxidoreductase activity,,,,
,KID59262.1,16301,MF,kinase activity,,,,
,KID59262.1,6260,BP,DNA replication,,,,
,KID59262.1,2,BP,mitochondrial genome maintenance,,,,
,KID59262.1,6508,BP,proteolysis,,,,
,KID59263.1,16021,CC,integral component of membrane,,,,
,KID59263.1,4672,MF,protein kinase activity,,,,
,KID59263.1,6468,BP,protein phosphorylation,,,,
,KID59263.1,5524,MF,ATP binding,,,,
,KID59264.1,30837,BP,negative regulation of actin filament polymerization,,,,
,KID59264.1,19706,MF,protein-cysteine S-palmitoyltransferase activity,,,,
,KID59264.1,16459,CC,myosin complex,,,,
,KID59264.1,15095,MF,magnesium ion transmembrane transporter activity,,,,
,KID59264.1,4197,MF,cysteine-type endopeptidase activity,,,,
,KID59264.1,5737,CC,cytoplasm,,,,
,KID59264.1,16021,CC,integral component of membrane,,,,
,KID59264.1,3779,MF,actin binding,,,,
,KID59264.1,1903830,BP,magnesium ion transmembrane transport,,,,
,KID59264.1,3774,MF,motor activity,,,,
,KID59264.1,3676,MF,nucleic acid binding,,,,
,KID59264.1,5524,MF,ATP binding,,,,
,KID59264.1,6508,BP,proteolysis,,,,
,KID59264.1,9116,BP,nucleoside metabolic process,,,,
,KID59264.1,42981,BP,regulation of apoptotic process,,,,
,KID59265.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59265.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59265.1,16021,CC,integral component of membrane,,,,
,KID59265.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59265.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59265.1,3676,MF,nucleic acid binding,,,,
,KID59265.1,8270,MF,zinc ion binding,,,,
,KID59265.1,4527,MF,exonuclease activity,,,,
,KID59265.1,46983,MF,protein dimerization activity,,,,
,KID59265.1,8484,MF,sulfuric ester hydrolase activity,,,,
,KID59265.1,3678,MF,DNA helicase activity,,,,
,KID59265.1,723,BP,telomere maintenance,,,,
,KID59265.1,4252,MF,serine-type endopeptidase activity,,,,
,KID59265.1,32508,BP,DNA duplex unwinding,,,,
,KID59265.1,6310,BP,DNA recombination,,,,
,KID59265.1,6281,BP,DNA repair,,,,
,KID59265.1,6508,BP,proteolysis,,,,
,KID59265.1,5524,MF,ATP binding,,,,
,KID59266.1,90729,MF,toxin activity,,,,
,KID59266.1,5615,CC,extracellular space,,,,
,KID59266.1,9405,BP,pathogenesis,,,,
,KID59271.1,4519,MF,endonuclease activity,,,,
,KID59271.1,90305,BP,nucleic acid phosphodiester bond hydrolysis,,,,
,KID59272.1,9405,BP,pathogenesis,,,,
,KID59272.1,3950,MF,NAD+ ADP-ribosyltransferase activity,,,,
,KID59272.1,5576,CC,extracellular region,,,,
,KID59272.1,90729,MF,toxin activity,,,,
,KID59272.1,16021,CC,integral component of membrane,,,,
,KID59273.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID59273.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID59273.1,16021,CC,integral component of membrane,,,,
,KID59273.1,6278,BP,RNA-dependent DNA biosynthetic process,,,,
,KID59273.1,3964,MF,RNA-directed DNA polymerase activity,,,,
,KID59273.1,3676,MF,nucleic acid binding,,,,
,KID59273.1,8270,MF,zinc ion binding,,,,
,KID59273.1,4527,MF,exonuclease activity,,,,
,KID59273.1,3678,MF,DNA helicase activity,,,,
,KID59273.1,723,BP,telomere maintenance,,,,
,KID59273.1,46983,MF,protein dimerization activity,,,,
,KID59273.1,32508,BP,DNA duplex unwinding,,,,
,KID59273.1,8484,MF,sulfuric ester hydrolase activity,,,,
,KID59273.1,6310,BP,DNA recombination,,,,
,KID59273.1,5524,MF,ATP binding,,,,
,KID59273.1,6281,BP,DNA repair,,,,
,KID59273.1,15074,BP,DNA integration,,,,
,KID59288.1,16787,MF,hydrolase activity,,,,
,KID59288.1,71765,BP,nuclear inner membrane organization,,,,
,KID59290.1,4784,MF,superoxide dismutase activity,,,,
,KID59290.1,19430,BP,removal of superoxide radicals,,,,
