organism	id	protein_id	go_id	ontology	description
1276135		KID59210.1	0006379	BP	mRNA cleavage
1276135		KID59210.1	0000172	CC	ribonuclease MRP complex
1276135		KID59210.1	0008033	BP	tRNA processing
1276135		KID59210.1	0004616	MF	phosphogluconate dehydrogenase (decarboxylating) activity
1276135		KID59210.1	0000166	MF	nucleotide binding
1276135		KID59210.1	0055114	BP	oxidation-reduction process
1276135		KID59210.1	0035639	MF	purine ribonucleoside triphosphate binding
1276135		KID59210.1	0051156	BP	glucose 6-phosphate metabolic process
1276135		KID59210.1	0008144	MF	drug binding
1276135		KID59210.1	0006739	BP	NADP metabolic process
1276135		KID59210.1	0097367	MF	carbohydrate derivative binding
1276135		KID59210.1	0050662	MF	coenzyme binding
1276135		KID59210.1	0016740	MF	transferase activity
1276135		KID59210.1	0006091	BP	generation of precursor metabolites and energy
1276135		KID59210.1	0016021	CC	integral component of membrane
1276135		KID59211.1	0004519	MF	endonuclease activity
1276135		KID59211.1	0090305	BP	nucleic acid phosphodiester bond hydrolysis
1276135		KID59211.1	0003676	MF	nucleic acid binding
1276135		KID59213.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59213.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59213.1	0016021	CC	integral component of membrane
1276135		KID59213.1	0006278	BP	RNA-dependent DNA biosynthetic process
1276135		KID59213.1	0003964	MF	RNA-directed DNA polymerase activity
1276135		KID59213.1	0003676	MF	nucleic acid binding
1276135		KID59213.1	0008270	MF	zinc ion binding
1276135		KID59213.1	0004527	MF	exonuclease activity
1276135		KID59213.1	0008484	MF	sulfuric ester hydrolase activity
1276135		KID59213.1	0046983	MF	protein dimerization activity
1276135		KID59213.1	0003678	MF	DNA helicase activity
1276135		KID59213.1	0000723	BP	telomere maintenance
1276135		KID59213.1	0015074	BP	DNA integration
1276135		KID59213.1	0032508	BP	DNA duplex unwinding
1276135		KID59213.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59213.1	0006310	BP	DNA recombination
1276135		KID59213.1	0006281	BP	DNA repair
1276135		KID59213.1	0005524	MF	ATP binding
1276135		KID59213.1	0006508	BP	proteolysis
1276135		KID59214.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59214.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59214.1	0006278	BP	RNA-dependent DNA biosynthetic process
1276135		KID59214.1	0008270	MF	zinc ion binding
1276135		KID59214.1	0003964	MF	RNA-directed DNA polymerase activity
1276135		KID59214.1	0003676	MF	nucleic acid binding
1276135		KID59214.1	0004527	MF	exonuclease activity
1276135		KID59214.1	0046983	MF	protein dimerization activity
1276135		KID59214.1	0004499	MF	N,N-dimethylaniline monooxygenase activity
1276135		KID59214.1	0050661	MF	NADP binding
1276135		KID59214.1	0015074	BP	DNA integration
1276135		KID59214.1	0055114	BP	oxidation-reduction process
1276135		KID59214.1	0050660	MF	flavin adenine dinucleotide binding
1276135		KID59215.1	0008909	MF	isochorismate synthase activity
1276135		KID59215.1	0009058	BP	biosynthetic process
1276135		KID59215.1	0016833	MF	oxo-acid-lyase activity
1276135		KID59215.1	0019748	BP	secondary metabolic process
1276135		KID59215.1	0004106	MF	chorismate mutase activity
1276135		KID59233.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59233.1	0006508	BP	proteolysis
1276135		KID59233.1	0005576	CC	extracellular region
1276135		KID59233.1	0046872	MF	metal ion binding
1276135		KID59235.1	0031177	MF	phosphopantetheine binding
1276135		KID59235.1	0055114	BP	oxidation-reduction process
1276135		KID59235.1	0019748	BP	secondary metabolic process
1276135		KID59235.1	0009058	BP	biosynthetic process
1276135		KID59235.1	0016491	MF	oxidoreductase activity
1276135		KID59235.1	0016740	MF	transferase activity
1276135		KID59235.1	0008270	MF	zinc ion binding
1276135		KID59235.1	0016787	MF	hydrolase activity
1276135		KID59235.1	0030170	MF	pyridoxal phosphate binding
1276135		KID59236.1	0005887	CC	integral component of plasma membrane
1276135		KID59236.1	0055085	BP	transmembrane transport
1276135		KID59236.1	0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific
1276135		KID59236.1	0008270	MF	zinc ion binding
1276135		KID59236.1	0006357	BP	regulation of transcription by RNA polymerase II
1276135		KID59236.1	0042910	MF	xenobiotic transmembrane transporter activity
1276135		KID59236.1	0005634	CC	nucleus
1276135		KID59236.1	0003677	MF	DNA binding
1276135		KID59236.1	0042908	BP	xenobiotic transport
1276135		KID59236.1	0140352	BP	export from cell
1276135		KID59236.1	0098754	BP	detoxification
1276135		KID59236.1	0006351	BP	transcription, DNA-templated
1276135		KID59239.1	0030170	MF	pyridoxal phosphate binding
1276135		KID59239.1	0009058	BP	biosynthetic process
1276135		KID59239.1	0098869	BP	cellular oxidant detoxification
1276135		KID59239.1	0016740	MF	transferase activity
1276135		KID59239.1	0055114	BP	oxidation-reduction process
1276135		KID59239.1	0004601	MF	peroxidase activity
1276135		KID59240.1	0006351	BP	transcription, DNA-templated
1276135		KID59240.1	0008270	MF	zinc ion binding
1276135		KID59240.1	0005634	CC	nucleus
1276135		KID59240.1	0003677	MF	DNA binding
1276135		KID59240.1	0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific
1276135		KID59240.1	0006357	BP	regulation of transcription by RNA polymerase II
1276135		KID59241.1	0090729	MF	toxin activity
1276135		KID59241.1	0005615	CC	extracellular space
1276135		KID59241.1	0009405	BP	pathogenesis
1276135		KID59242.1	0030976	MF	thiamine pyrophosphate binding
1276135		KID59242.1	0005829	CC	cytosol
1276135		KID59242.1	0016831	MF	carboxy-lyase activity
1276135		KID59242.1	0000287	MF	magnesium ion binding
1276135		KID59242.1	0003984	MF	acetolactate synthase activity
1276135		KID59253.1	0005524	MF	ATP binding
1276135		KID59253.1	0006508	BP	proteolysis
1276135		KID59253.1	0016021	CC	integral component of membrane
1276135		KID59253.1	0000723	BP	telomere maintenance
1276135		KID59253.1	0032508	BP	DNA duplex unwinding
1276135		KID59253.1	0004386	MF	helicase activity
1276135		KID59253.1	0006310	BP	DNA recombination
1276135		KID59253.1	0006281	BP	DNA repair
1276135		KID59253.1	0003676	MF	nucleic acid binding
1276135		KID59253.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59253.1	0046983	MF	protein dimerization activity
1276135		KID59253.1	0015074	BP	DNA integration
1276135		KID59253.1	0008094	MF	DNA-dependent ATPase activity
1276135		KID59253.1	0140097	MF	catalytic activity, acting on DNA
1276135		KID59253.1	0008270	MF	zinc ion binding
1276135		KID59253.1	0008234	MF	cysteine-type peptidase activity
1276135		KID59255.1	0045480	MF	galactose oxidase activity
1276135		KID59255.1	0055114	BP	oxidation-reduction process
1276135		KID59255.1	0016021	CC	integral component of membrane
1276135		KID59255.1	0030246	MF	carbohydrate binding
1276135		KID59255.1	0006091	BP	generation of precursor metabolites and energy
1276135		KID59255.1	0031176	MF	endo-1,4-beta-xylanase activity
1276135		KID59255.1	0005509	MF	calcium ion binding
1276135		KID59255.1	0020037	MF	heme binding
1276135		KID59255.1	0009055	MF	electron transfer activity
1276135		KID59255.1	0003676	MF	nucleic acid binding
1276135		KID59256.1	0000009	MF	alpha-1,6-mannosyltransferase activity
1276135		KID59256.1	0097502	BP	mannosylation
1276135		KID59256.1	0016021	CC	integral component of membrane
1276135		KID59256.1	0006491	BP	N-glycan processing
1276135		KID59256.1	0006057	BP	mannoprotein biosynthetic process
1276135		KID59256.1	0031501	CC	mannosyltransferase complex
1276135		KID59256.1	0031506	BP	cell wall glycoprotein biosynthetic process
1276135		KID59256.1	0000137	CC	Golgi cis cisterna
1276135		KID59256.1	0004376	MF	glycolipid mannosyltransferase activity
1276135		KID59256.1	0031228	CC	intrinsic component of Golgi membrane
1276135		KID59256.1	0098796	CC	membrane protein complex
1276135		KID59256.1	0005789	CC	endoplasmic reticulum membrane
1276135		KID59257.1	0003676	MF	nucleic acid binding
1276135		KID59258.1	0016301	MF	kinase activity
1276135		KID59258.1	0016310	BP	phosphorylation
1276135		KID59258.1	0016773	MF	phosphotransferase activity, alcohol group as acceptor
1276135		KID59258.1	0006464	BP	cellular protein modification process
1276135		KID59258.1	0140096	MF	catalytic activity, acting on a protein
1276135		KID59259.1	0005618	CC	cell wall
1276135		KID59259.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59259.1	0006508	BP	proteolysis
1276135		KID59259.1	0016020	CC	membrane
1276135		KID59260.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59260.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59260.1	0016021	CC	integral component of membrane
1276135		KID59260.1	0006278	BP	RNA-dependent DNA biosynthetic process
1276135		KID59260.1	0003964	MF	RNA-directed DNA polymerase activity
1276135		KID59260.1	0003676	MF	nucleic acid binding
1276135		KID59260.1	0004527	MF	exonuclease activity
1276135		KID59260.1	0008270	MF	zinc ion binding
1276135		KID59260.1	0046983	MF	protein dimerization activity
1276135		KID59260.1	0003678	MF	DNA helicase activity
1276135		KID59260.1	0000723	BP	telomere maintenance
1276135		KID59260.1	0008484	MF	sulfuric ester hydrolase activity
1276135		KID59260.1	0032508	BP	DNA duplex unwinding
1276135		KID59260.1	0006310	BP	DNA recombination
1276135		KID59260.1	0005524	MF	ATP binding
1276135		KID59260.1	0006281	BP	DNA repair
1276135		KID59260.1	0015074	BP	DNA integration
1276135		KID59260.1	0055085	BP	transmembrane transport
1276135		KID59262.1	0000723	BP	telomere maintenance
1276135		KID59262.1	0003678	MF	DNA helicase activity
1276135		KID59262.1	0005657	CC	replication fork
1276135		KID59262.1	0005634	CC	nucleus
1276135		KID59262.1	0032508	BP	DNA duplex unwinding
1276135		KID59262.1	0006310	BP	DNA recombination
1276135		KID59262.1	0006281	BP	DNA repair
1276135		KID59262.1	0005524	MF	ATP binding
1276135		KID59262.1	0005739	CC	mitochondrion
1276135		KID59262.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59262.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59262.1	0003676	MF	nucleic acid binding
1276135		KID59262.1	0016706	MF	2-oxoglutarate-dependent dioxygenase activity
1276135		KID59262.1	0009116	BP	nucleoside metabolic process
1276135		KID59262.1	0031418	MF	L-ascorbic acid binding
1276135		KID59262.1	0046914	MF	transition metal ion binding
1276135		KID59262.1	0006357	BP	regulation of transcription by RNA polymerase II
1276135		KID59262.1	0006468	BP	protein phosphorylation
1276135		KID59262.1	0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific
1276135		KID59262.1	0051974	BP	negative regulation of telomerase activity
1276135		KID59262.1	0032211	BP	negative regulation of telomere maintenance via telomerase
1276135		KID59262.1	0140096	MF	catalytic activity, acting on a protein
1276135		KID59262.1	0055114	BP	oxidation-reduction process
1276135		KID59262.1	0016773	MF	phosphotransferase activity, alcohol group as acceptor
1276135		KID59262.1	0010521	MF	telomerase inhibitor activity
1276135		KID59262.1	0050660	MF	flavin adenine dinucleotide binding
1276135		KID59262.1	0016614	MF	oxidoreductase activity, acting on CH-OH group of donors
1276135		KID59262.1	0016301	MF	kinase activity
1276135		KID59262.1	0006260	BP	DNA replication
1276135		KID59262.1	0000002	BP	mitochondrial genome maintenance
1276135		KID59262.1	0006508	BP	proteolysis
1276135		KID59263.1	0016021	CC	integral component of membrane
1276135		KID59263.1	0004672	MF	protein kinase activity
1276135		KID59263.1	0006468	BP	protein phosphorylation
1276135		KID59263.1	0005524	MF	ATP binding
1276135		KID59264.1	0030837	BP	negative regulation of actin filament polymerization
1276135		KID59264.1	0019706	MF	protein-cysteine S-palmitoyltransferase activity
1276135		KID59264.1	0016459	CC	myosin complex
1276135		KID59264.1	0015095	MF	magnesium ion transmembrane transporter activity
1276135		KID59264.1	0004197	MF	cysteine-type endopeptidase activity
1276135		KID59264.1	0005737	CC	cytoplasm
1276135		KID59264.1	0016021	CC	integral component of membrane
1276135		KID59264.1	0003779	MF	actin binding
1276135		KID59264.1	1903830	BP	magnesium ion transmembrane transport
1276135		KID59264.1	0003774	MF	motor activity
1276135		KID59264.1	0003676	MF	nucleic acid binding
1276135		KID59264.1	0005524	MF	ATP binding
1276135		KID59264.1	0006508	BP	proteolysis
1276135		KID59264.1	0009116	BP	nucleoside metabolic process
1276135		KID59264.1	0042981	BP	regulation of apoptotic process
1276135		KID59265.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59265.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
1276135		KID59265.1	0016021	CC	integral component of membrane
1276135		KID59265.1	0006278	BP	RNA-dependent DNA biosynthetic process
1276135		KID59265.1	0003964	MF	RNA-directed DNA polymerase activity
1276135		KID59265.1	0003676	MF	nucleic acid binding
1276135		KID59265.1	0008270	MF	zinc ion binding
1276135		KID59265.1	0004527	MF	exonuclease activity
1276135		KID59265.1	0046983	MF	protein dimerization activity
1276135		KID59265.1	0008484	MF	sulfuric ester hydrolase activity
1276135		KID59265.1	0003678	MF	DNA helicase activity
1276135		KID59265.1	0000723	BP	telomere maintenance
1276135		KID59265.1	0004252	MF	serine-type endopeptidase activity
1276135		KID59265.1	0032508	BP	DNA duplex unwinding
1276135		KID59265.1	0006310	BP	DNA recombination
1276135		KID59265.1	0006281	BP	DNA repair
1276135		KID59265.1	0006508	BP	proteolysis
1276135		KID59265.1	0005524	MF	ATP binding
1276135		KID59266.1	0090729	MF	toxin activity
1276135		KID59266.1	0005615	CC	extracellular space
1276135		KID59266.1	0009405	BP	pathogenesis
1276135		KID59271.1	0004519	MF	endonuclease activity
1276135		KID59271.1	0090305	BP	nucleic acid phosphodiester bond hydrolysis
1276135		KID59272.1	0009405	BP	pathogenesis
1276135		KID59272.1	0003950	MF	NAD+ ADP-ribosyltransferase activity
1276135		KID59272.1	0005576	CC	extracellular region
1276135		KID59272.1	0090729	MF	toxin activity
1276135		KID59272.1	0016021	CC	integral component of membrane
1276135		KID59273.1	0004523	MF	RNA-DNA hybrid ribonuclease activity
1276135		KID59273.1	0090502	BP	RNA phosphodiester bond hydrolysis, endonucleolytic
